,Geo,Name,Website,Wiki
105,"(Decimal('8.508611110000000365971573046408593654632568359375'), Decimal('76.9549999999999982946974341757595539093017578125'))",Napier Museum,,/wiki/Napier_Museum
106,"(Decimal('22.311800000000001631406121305190026760101318359375'), Decimal('73.1888000000000005229594535194337368011474609375'))",Baroda Museum & Picture Gallery,,/wiki/Baroda_Museum_%26_Picture_Gallery
107,"(Decimal('22.292100000000001358557710773311555385589599609375'), Decimal('73.1937999999999959754859446547925472259521484375'))",Maharaja Fateh Singh Museum,,/wiki/Maharaja_Fateh_Singh_Museum
108,"(Decimal('-6.17611110999999990411879480234347283840179443359375'), Decimal('106.8216666699999990441938280127942562103271484375'))",National Museum of Indonesia,http://www.museumnasional.or.id/,/wiki/National_Museum_of_Indonesia
109,"(Decimal('-6.1338888899999997050827005296014249324798583984375'), Decimal('106.8141666700000058654040913097560405731201171875'))",Fine Art and Ceramic Museum,,/wiki/Fine_Art_and_Ceramic_Museum
110,,National Gallery of Indonesia,http://www.galeri-nasional.or.id/about_gallery.php,/wiki/National_Gallery_of_Indonesia
111,"(Decimal('35.68704444000000108871972770430147647857666015625'), Decimal('51.41461111000000272497345576994121074676513671875'))",National Museum of Iran,http://irannationalmuseum.ir/,/wiki/National_Museum_of_Iran
112,"(Decimal('35.71119999999999805595507496036589145660400390625'), Decimal('51.390399999999999636202119290828704833984375'))",Tehran Museum of Contemporary Art,http://tmoca.com/home/,/wiki/Tehran_Museum_of_Contemporary_Art
113,"(Decimal('35.71419999999999816964191268198192119598388671875'), Decimal('51.3907999999999987039700499735772609710693359375'))",Carpet Museum of Iran,,/wiki/Carpet_Museum_of_Iran
114,"(Decimal('33.3282999999999987039700499735772609710693359375'), Decimal('44.38539999999999707824827055446803569793701171875'))",National Museum of Iraq,http://www.iraqmuseum.org/,/wiki/National_Museum_of_Iraq
115,"(Decimal('32.82211111000000158810507855378091335296630859375'), Decimal('34.99221666999999769132045912556350231170654296875'))",Haifa Museum of Art,http://www.hma.org.il/eng,/wiki/Haifa_Museum_of_Art
116,"(Decimal('32.7634777800000023262327886186540126800537109375'), Decimal('35.01797778000000249676304520107805728912353515625'))",Hecht Museum,http://mushecht.haifa.ac.il/Default_eng.aspx,/wiki/Hecht_Museum
117,"(Decimal('32.70163611000000258854925050400197505950927734375'), Decimal('34.97997500000000314912540488876402378082275390625'))",Janco Dada Museum,,/wiki/Janco_Dada_Museum
118,,Mane-Katz,,/wiki/Mane-Katz#Mane-Katz_museum
119,"(Decimal('32.80930000000000035242919693700969219207763671875'), Decimal('34.985399999999998499333742074668407440185546875'))",Tikotin Museum of Japanese Art,,/wiki/Tikotin_Museum_of_Japanese_Art
120,"(Decimal('31.774899999999998811972545809112489223480224609375'), Decimal('35.2025000000000005684341886080801486968994140625'))",Bible Lands Museum,http://www.blmj.org/en/,/wiki/Bible_Lands_Museum
121,,Israel Museum,http://www.imj.org.il/en/,/wiki/Israel_Museum
122,"(Decimal('31.779928999999999206238499027676880359649658203125'), Decimal('35.21439600000000069712768890894949436187744140625'))",Jerusalem Artists House,http://www.art.org.il/he/index.php,/wiki/Jerusalem_Artists_House
123,"(Decimal('31.76872777999999897247107583098113536834716796875'), Decimal('35.2128361099999978023333824239671230316162109375'))",L. A. Mayer Institute for Islamic Art,,/wiki/L._A._Mayer_Institute_for_Islamic_Art
124,"(Decimal('31.783611109999998944886101526208221912384033203125'), Decimal('35.23416667000000046527929953299462795257568359375'))",Rockefeller Museum,https://www.imj.org.il/en/wings/archaeology/rockefeller-archaeological-museum,/wiki/Rockefeller_Museum
